DEPTH	RHOZ	AT60	DPHZ	CALI	RXOZ	ATD2	IHV	RSOZ	CNTC	AT20	ATCO90	GR	FCD	SMNO	HDRA	RVSRU	RXV	NPOR	AT10	AT30	AT90	ATD1	SP	RWA	BS	ICV	SMIN	RSP	DSOZ	PEFZ	RVDRU	RVV	RXRU	CFTC	NPHI	TNPH	
[m MD]	[Unknown]	[Ohm.m]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Ohm.m]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Ohm.m]	[Ohm.m]	[Ohm.m]	[Unknown]	[mV]	[Ohm.m]	[in]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	[Unknown]	
389,53	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	44,22175	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
389,69	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	44,03775	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
389,84	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	39,52221	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
389,99	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	32,06116	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
390,14	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	29,907	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
390,30	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	35,37852	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
390,45	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	37,74156	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
390,60	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	39,90678	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	
390,75	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	-999.25	-999.25	-999.25	35,42589	5,5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	0,59139	-999.25	
390,91	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	1288,636	-999.25	-999.25	31,86825	5,5	-999.25	-999.25	-999.25	-999.25	0,60497	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	322,6709	0,61166	0,60465	
391,06	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	1304,273	-999.25	-999.25	29,62668	5,5	-999.25	-999.25	-999.25	-999.25	0,63104	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	321,8003	0,61625	0,62674	
391,21	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	1316,829	-999.25	-999.25	33,76373	5,5	-999.25	-999.25	-999.25	-999.25	0,65446	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	320,0387	0,50689	0,65209	
391,36	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	1307,678	-999.25	-999.25	38,29665	5,5	-999.25	-999.25	-999.25	-999.25	0,47442	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	360,0476	0,4559	0,50506	
391,52	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	1300,685	-999.25	-999.25	41,6858	5,5	-999.25	-999.25	-999.25	-999.25	0,46905	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	374,2639	0,45255	0,47012	
391,67	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	1281,581	-999.25	-999.25	44,02966	5,5	-999.25	-999.25	-999.25	-999.25	0,48825	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	368,1477	0,53004	0,47186	
391,82	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	75,46924	-999.25	1258,118	-999.25	-999.25	42,55803	5,5	-999.25	-999.25	-999.25	-999.25	0,53465	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	13,5	46,019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	334,9042	0,554	0,53581	
