IDENTIFICADOR	CAPA	X	Y	TOPE_DE_CAPA	BASE_DE_CAPA
		[m]	[m]	[m MD]	[m MD]
PR-1221	L3B	2556465	4920427	2130.20	2139.70
PR-1221	L4	2556465	4920427	2141.40	2156.60
PR-1221	L4F	2556464	4920426	2167.60	2175.60
PR-1221	L5	2556464	4920426	2184.90	2193.30
PR-1221	Mkr_L2	2556464	4920426	2194.10	2316.20
PR-1221	L5A	2556464	4920426	2195.90	2201.30
PR-1221	L5D	2556464	4920426	2211.60	2218.70
PR-1221	L5E	2556463	4920426	2220.40	2224.90
PR-1221	L5F	2556463	4920426	2226.20	2231.70
PR-1221	M3	2556463	4920425	2240.40	2248.70
PR-1221	M4	2556463	4920425	2254.30	2267.90
PR-1221	M5	2556462	4920425	2295.50	2301.70
PR-1221	M6	2556462	4920424	2308.60	2315.00
PR-1221	Mkr_M7	2556462	4920424	2316.20	2497.60
PR-1221	M7	2556462	4920424	2317.60	2326.40
PR-1221	M7AB	2556462	4920424	2327.40	2335.90
PR-1221	M8	2556461	4920424	2337.30	2344.50
PR-1221	O1B	2556461	4920424	2362.60	2373.80
PR-1221	O3B	2556461	4920423	2384.90	2391.60
PR-1221	O4	2556461	4920423	2395.20	2408.30
PR-1221	P1	2556460	4920423	2429.20	2437.00
PR-1221	P1B	2556460	4920423	2438.90	2444.40
PR-1221	P2	2556460	4920422	2445.00	2454.20
PR-1221	P3	2556460	4920422	2456.90	2468.80
PR-1221	P4	2556459	4920422	2469.80	2475.20
PR-1221	P6	2556459	4920422	2478.70	2484.40
PR-1221	Mkr_P	2556459	4920422	2497.60	2806.60
PR-1221	R1	2556459	4920422	2502.00	2508.70
PR-1221	R2	2556459	4920421	2538.20	2549.20
PR-1221	R4	2556458	4920420	2587.70	2596.50
PR-1221	R5	2556458	4920420	2598.50	2611.30
PR-1221	R8A	2556458	4920419	2659.70	2667.90
PR-1221	R8C	2556458	4920419	2676.60	2684.50
PR-1221	S1	2556457	4920418	2714.30	2725.60
PR-1221	S2	2556457	4920417	2752.50	2759.60
PR-1221	S4	2556457	4920417	2771.90	2783.20
PR-1221	Top-MEC-C	2556456	4920416	2806.60	3050.00
PR-1221	T1	2556456	4920416	2810.90	2821.30
PR-1221	T1A	2556456	4920416	2833.20	2839.30
PR-1221	T2	2556455	4920414	2897.70	2909.60
PR-1221	T3	2556455	4920414	2973.10	2978.60
PR-1221	T4	2556455	4920413	2980.90	2985.10
PR-1221	T5	2556455	4920413	2994.90	3000.10
PR-1221	T8	2556455	4920413	3018.30	3024.40
PR-1221	fbs_xp	2556455	4920414	2920.52	
PR-1225	Mkr_C	2556214	4920249	1904.70	2032.20
PR-1225	K3	2556214	4920249	1907.30	1914.30
PR-1225	K4	2556214	4920249	1918.40	1925.10
PR-1225	K5	2556214	4920249	1942.90	1954.10
PR-1225	K7	2556214	4920249	1977.60	1983.30
PR-1225	K8	2556214	4920249	1993.50	2000.40
PR-1225	K9	2556214	4920249	2015.20	2024.50
PR-1225	Mkr_K	2556214	4920249	2032.20	2188.10
PR-1225	L1	2556214	4920249	2042.10	2049.00
PR-1225	L1A	2556214	4920249	2049.80	2056.60
PR-1225	L1B	2556214	4920249	2058.40	2074.20
PR-1225	L1E	2556214	4920249	2079.10	2090.60
PR-1225	L2	2556214	4920249	2105.80	2113.40
PR-1225	L3AC	2556214	4920249	2117.00	2123.90
PR-1225	L3B	2556214	4920249	2124.90	2137.40
PR-1225	L4	2556214	4920249	2140.20	2151.10
PR-1225	L4F	2556214	4920249	2159.70	2169.00
PR-1225	L5	2556214	4920249	2178.90	2187.20
PR-1225	Mkr_L2	2556214	4920249	2188.10	2311.30
PR-1225	L5A	2556214	4920249	2190.30	2194.80
PR-1225	L5B	2556214	4920249	2195.70	2197.90
PR-1225	L5D	2556214	4920249	2206.00	2213.40
PR-1225	L5E	2556214	4920249	2214.50	2218.10
PR-1225	L5F	2556214	4920249	2219.00	2225.40
PR-1225	M3	2556214	4920249	2234.00	2242.30
PR-1225	M4	2556214	4920249	2250.00	2264.00
PR-1225	M4A	2556214	4920249	2268.20	2272.00
PR-1225	M4B	2556214	4920249	2275.90	2278.80
PR-1225	M4C	2556214	4920249	2281.70	2285.50
PR-1225	M5	2556214	4920249	2289.20	2297.80
PR-1225	M6	2556214	4920249	2302.90	2309.80
PR-1225	Mkr_M7	2556214	4920249	2311.30	2495.40
PR-1225	M7	2556214	4920249	2313.10	2322.30
PR-1225	M7AB	2556214	4920249	2322.90	2331.90
PR-1225	M8	2556214	4920249	2333.10	2341.10
PR-1225	O1B	2556214	4920249	2358.60	2369.20
PR-1225	O3B	2556214	4920249	2380.00	2387.00
PR-1225	O4	2556214	4920249	2389.60	2403.00
PR-1225	P1	2556214	4920249	2424.30	2431.70
PR-1225	P1B	2556214	4920249	2433.00	2437.80
PR-1225	P2	2556214	4920249	2439.40	2448.90
PR-1225	P3	2556214	4920249	2450.70	2463.50
PR-1225	P4	2556214	4920249	2464.50	2470.30
PR-1225	P6	2556214	4920249	2475.30	2481.40
PR-1225	Mkr_P	2556214	4920249	2495.40	2806.80
PR-1225	R1	2556214	4920249	2498.60	2505.30
PR-1225	R2	2556214	4920249	2534.90	2545.10
PR-1225	R4	2556214	4920249	2585.00	2594.90
PR-1225	R5	2556214	4920249	2596.10	2605.90
PR-1225	R8A	2556214	4920249	2658.90	2666.60
PR-1225	R8C	2556214	4920249	2675.80	2685.10
PR-1225	S1	2556214	4920249	2712.50	2724.90
PR-1225	S2	2556214	4920249	2752.70	2758.90
PR-1225	S3	2556214	4920249	2762.10	2767.30
PR-1225	S4	2556214	4920249	2772.10	2786.10
PR-1225	Top-MEC-C	2556214	4920249	2806.80	3075.00
PR-1225	T1	2556214	4920249	2811.50	2822.00
PR-1225	T1A	2556214	4920249	2834.90	2840.10
PR-1225	T2	2556214	4920249	2895.90	2906.90
PR-1225	T3	2556214	4920249	2980.20	2985.00
PR-1225	T4	2556214	4920249	2987.90	2992.70
PR-1219	Mkr_C	2555587	4919952	1900.80	2026.80
PR-1219	K3	2555587	4919952	1904.00	1911.00
PR-1219	K4	2555587	4919952	1914.90	1921.40
PR-1219	K5	2555587	4919952	1937.60	1948.10
PR-1219	K6	2555587	4919952	1955.90	1965.00
PR-1219	K7	2555587	4919952	1972.60	1978.40
